Iteration,EncodedTextLen
150,36325246
151,36202205
152,36106378
153,36129620
154,36081827
155,36306258
156,36248647
157,36081971
158,36243601
159,36290145
160,36194629
161,36109510
162,36131825
163,36084408
164,36328510
165,36240421
166,36336749
167,36175460
168,36194040
169,36215681
170,36009285
171,36159337
172,36222499
173,35990116
174,36222165
175,36213798
176,36022297
177,36183527
178,36017969
179,36220795
180,36034977
181,36295874
182,36003485
183,36131446
184,36141771
185,36147593
186,36260899
187,36280637
188,36147497
189,36118959
190,36202432
191,36188787
192,36195073
193,36210657
194,36062393
195,36312073
196,36102008
197,36234676
198,36138923
199,36018338
